username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Grace Joins,1597730976817643520,Spokane,2023-01-14 08:54:32,"Spokane #Spokane &amp; u #EmeraldCity #Seattle Seattle
#FreePalestine!
https://t.co/P349tKDs2X",0,Twitter Web App,
Tyler carney,716796193863372800,"Spokane, WA",2023-01-14 04:46:24,"Cannot wait to watch my #njdevils in Seattle on Thursday, first time ever getting to the Devils play 🥲",0,Twitter for iPhone,
4 News Now,7940822,"Spokane, Washington",2023-01-14 03:30:10,The Seattle Kraken have won 7 games in a row and are the only undefeated NHL team in 2023. https://t.co/J0nlLTjvHA,0,SocialNewsDesk,
BALLER ON A BUDGET,1004314548386447360,"Spokane, WA",2023-01-14 03:28:31,tomorrow all you’re going to hear is nobody outside of Seattle saw this coming,0,Twitter for iPhone,
Micah J Montgomery,875487361383137280,"Spokane, WA",2023-01-14 03:21:23,@NFL I like Seattle in a nail biter. Great weekend of playoff matchups,0,Twitter for iPhone,
Brian Schaeffer,90515306,"Spokane, WA",2023-01-14 02:44:32,Great article @seattletimes! @WomeninFireOrg Great History and Promising Future for SFD and WA Fire Service! https://t.co/eJLjfXfChg,1,Twitter Web App,
4 News Now,7940822,"Spokane, Washington",2023-01-14 02:00:06,The Seattle Seahawks kick off the postseason against the 49ers on Saturday at 1:30 p.m.! https://t.co/USgX5uOOBH,0,SocialNewsDesk,
blank,35233179,spokane washington,2023-01-14 01:29:13,@Bwagz @GeeScottSr U played awful the last two years in seattle .. u made alot of tackles five yards after the line… https://t.co/poxxD0k0fj,0,Twitter for Android,
blank,35233179,spokane washington,2023-01-14 01:06:21,"@Lions @Seahawks @12s Seems like a pretty weak amount honestly.. Bengals fans gave 100,000 in 48 hours.. Seattle sh… https://t.co/A17kzLepgs",0,Twitter for Android,
Rob Grant,364908960,"Spokane, Wa",2023-01-14 00:49:52,@hockeyfights @NHL needs to do this for the Seattle Game!!!,0,Twitter Web App,
Nationalizeallbigtech,1463254832542740480,"Spokane, WA",2023-01-13 23:50:44,@axios I thought axios was based in Washington DC not in Washington state why are all the promoted tweets about Sea… https://t.co/phg6KdUQhl,0,Twitter for Android,
KREM 2 NEWS,15756056,"Spokane, Washington",2023-01-13 22:30:07,"The Sounders will become the first club from the United States to ever play in the FIFA Club World Cup, which begin… https://t.co/TQi0NTs21X",1,SocialNewsDesk,
Brett,1184846477161459712,"Spokane, WA",2023-01-13 21:45:14,"@XaiaX if I can't afford or time Seattle PAX this year, again, open invite if you need a place to crash. and I'm wi… https://t.co/egSuN4oKJi",0,Twitter Web App,
Herr und Frau Wallace von Hollenbeck,1210628778256297985,"Spokane, WA",2023-01-13 20:18:53,"Actually, I got some work done this week searching for an apartment. 10 am. meeting with a potential landlord on Mo… https://t.co/CaeEzTfyIe",0,Twitter for Android,
Kristin Rosenbach - Truffle Dog Trainer,1336101056,"Pacific Northwest, WA",2023-01-13 19:37:41,Take a glimpse into the world of truffle hunting in the Pacific Northwest. This is a typical scene in a truffle pro… https://t.co/oCDNz04gDp,0,Buffer,
kaley (Taylor's Version),56903539,Spokane,2023-01-13 18:24:47,Will sell my soul for an upgraded Seattle venue who's buying https://t.co/sWPoyiDikF,0,Twitter for Android,
KREM 2 NEWS,15756056,"Spokane, Washington",2023-01-13 17:00:07,Bigg's killer whales and humpbacks were spotted in record-breaking numbers in 2022. https://t.co/fIw8Y5JJGz,0,SocialNewsDesk,
KREM 2 NEWS,15756056,"Spokane, Washington",2023-01-13 16:30:06,"The odds are stacked against the Seahawks, but here's how Seattle can give itself a chance Saturday. https://t.co/M4KKyWHkK5",0,SocialNewsDesk,
Derek Deis,369364348,"Spokane, WA",2023-01-13 14:49:44,@8mask @kxly4news @emilyblume_kxly @RobynNanceKXLY @SydneyCharlesTV Country over club. Or something like that. Also… https://t.co/E2y3xXq7iU,0,Twitter Web App,
